;sars_cov2_rna [gc/(d*100000 capita)];median_7d_sars_cov2_rna [gc/(d*100000 capita)];new_cases [1/(d*100000 capita)];median_7d_new_cases [1/(d*100000 capita)];quantification_flag [{Q: >LOQ,D: >LOD,N: <LOD}];flow [m^3/d]
2020-10-01;;;6.277164225806451;6.774745145161291;;
2020-10-02;;;8.791607661290323;6.774745145161291;;
2020-10-03;;;4.299718919354838;6.774745145161291;;
2020-10-04;;;1.608809306451613;6.774745145161291;;
2020-10-05;;;6.48740835483871;6.48740835483871;;
2020-10-06;;;11.160933387096774;6.48740835483871;;
2020-10-07;;;18.029933177419355;6.48740835483871;;
2020-10-08;;;15.662330403225805;8.791607661290323;;
2020-10-09;;;32.24621614516129;11.160933387096774;;
2020-10-10;;;23.556291854838708;15.662330403225805;;
2020-10-11;;;25.422590887096774;18.029933177419355;;
2020-10-12;;;44.06463080645161;23.556291854838708;;
2020-10-13;;;48.25713824193548;25.422590887096774;;
2020-10-14;;;46.1054610967742;32.24621614516129;;
2020-10-15;;;45.69295791935483;44.06463080645161;;
2020-10-16;;;55.2069885483871;45.69295791935483;;
2020-10-17;;;44.4950030483871;45.69295791935483;;
2020-10-18;;;50.9815111451613;46.1054610967742;;
2020-10-19;;;57.80310262903226;48.25713824193548;;
2020-10-20;;;84.94941753225807;50.9815111451613;;
2020-10-21;;;91.62904472580645;55.2069885483871;;
2020-10-22;;;122.91098296774193;57.80310262903226;;
2020-10-23;;;117.72387308064515;84.94941753225807;;
2020-10-24;;;85.16590627419355;85.16590627419355;;
2020-10-25;;;90.52152280645161;90.52152280645161;;
2020-10-26;;;150.21414929032258;91.62904472580645;;
2020-10-27;;;175.52485329032257;117.72387308064515;;
2020-10-28;;;126.03000670967741;122.91098296774193;;
2020-10-29;;;141.79747198387093;126.03000670967741;;
2020-10-30;;;129.96801487096775;129.96801487096775;;
2020-10-31;;;93.61790322580646;129.96801487096775;;
2020-11-01;;;79.2297839516129;129.96801487096775;;
2020-11-02;;;159.13421862903226;129.96801487096775;;
2020-11-03;;;156.60382930645162;129.96801487096775;;
2020-11-04;;;142.18037953225806;141.79747198387093;;
2020-11-05;;;139.37760885483868;139.37760885483868;;
2020-11-06;;;100.96977869354839;139.37760885483868;;
2020-11-07;;;63.29131843548387;139.37760885483868;;
2020-11-08;;;52.046135612903235;139.37760885483868;;
2020-11-09;;;110.13331387096774;110.13331387096774;;
2020-11-10;;;99.7803329516129;100.96977869354839;;
2020-11-11;;;81.20936132258065;99.7803329516129;;
2020-11-12;;;88.45577458064515;88.45577458064515;;
2020-11-13;;;72.09695496774192;81.20936132258065;;
2020-11-14;;;59.04854393548387;81.20936132258065;;
2020-11-15;;;43.613374887096775;81.20936132258065;;
2020-11-16;;;71.43619375806452;72.09695496774192;;
2020-11-17;;;61.39674982258065;71.43619375806452;;
2020-11-18;;;81.13354127419355;71.43619375806452;;
2020-11-19;;;47.60391787096774;61.39674982258065;;
2020-11-20;;;44.043212741935484;59.04854393548387;;
2020-11-21;;;43.96836738709677;47.60391787096774;;
2020-11-22;;;32.49472337096775;47.60391787096774;;
2020-11-23;;;58.73797716129033;47.60391787096774;;
2020-11-24;;;40.141907112903226;44.043212741935484;;
2020-11-25;;;35.764254161290324;43.96836738709677;;
2020-11-26;;;55.29294875806452;43.96836738709677;;
2020-11-27;;;38.804578870967745;40.141907112903226;;
2020-11-28;;;38.25979030645161;38.804578870967745;;
2020-11-29;;;28.66730833870968;38.804578870967745;;
2020-11-30;;;73.12770677419354;38.804578870967745;;
2020-12-01;;;50.312358177419355;38.804578870967745;;
2020-12-02;;;47.62071038709677;47.62071038709677;;
2020-12-03;;;23.215551112903228;38.804578870967745;;
2020-12-04;;;47.98795470967742;47.62071038709677;;
2020-12-05;;;42.84281643548387;47.62071038709677;;
2020-12-06;;;22.497124838709677;47.62071038709677;;
2020-12-07;;;35.062115629032256;42.84281643548387;;
2020-12-08;;;40.150014645161285;40.150014645161285;;
2020-12-09;;;38.56802643548387;38.56802643548387;;
2020-12-10;;;45.24477464516129;40.150014645161285;;
2020-12-11;;;44.72752448387097;40.150014645161285;;
2020-12-12;;;33.92789008064516;38.56802643548387;;
2020-12-13;;;34.15058029032257;38.56802643548387;;
2020-12-14;;;59.55165783870968;40.150014645161285;;
2020-12-15;;;45.72779475806452;44.72752448387097;;
2020-12-16;;;31.96037703225807;44.72752448387097;;
2020-12-17;;;66.79368091935484;44.72752448387097;;
2020-12-18;;;25.34114885483871;34.15058029032257;;
2020-12-19;;;34.39533812903226;34.39533812903226;;
2020-12-20;;;32.837068870967734;34.39533812903226;;
2020-12-21;;;43.41716362903226;34.39533812903226;;
2020-12-22;;;60.54003717741936;34.39533812903226;;
2020-12-23;;;35.56914598387097;35.56914598387097;;
2020-12-24;;;32.81193619354839;34.39533812903226;;
2020-12-25;;;23.21077522580645;34.39533812903226;;
2020-12-26;;;15.051337806451611;32.837068870967734;;
2020-12-27;;;27.686709532258064;32.81193619354839;;
2020-12-28;;;50.53410090322581;32.81193619354839;;
2020-12-29;;;40.33628624193548;32.81193619354839;;
2020-12-30;;;44.04875179032258;32.81193619354839;;
2020-12-31;;;34.67839330645162;34.67839330645162;;
2021-01-01;;;21.795666;34.67839330645162;;
2021-01-02;;;49.901732532258066;40.33628624193548;;
2021-01-03;;;31.757884241935486;40.33628624193548;;
2021-01-04;;;36.93032588709678;36.93032588709678;;
2021-01-05;;;35.039578500000005;35.039578500000005;;
2021-01-06;;;25.41071320967742;34.67839330645162;;
2021-01-07;;;39.95049291935484;35.039578500000005;;
2021-01-08;;;32.43984540322581;35.039578500000005;;
2021-01-09;;;25.782231161290323;32.43984540322581;;
2021-01-10;;;16.199330016129032;32.43984540322581;;
2021-01-11;;;38.00757954838709;32.43984540322581;;
2021-01-12;;;37.34171572580645;32.43984540322581;;
2021-01-13;;;23.887202032258063;32.43984540322581;;
2021-01-14;;;17.886495564516128;25.782231161290323;;
2021-01-15;;;25.691981935483867;25.691981935483867;;
2021-01-16;;;26.17532;25.691981935483867;;
2021-01-17;;;14.45935343548387;25.691981935483867;;
2021-01-18;;;26.862946129032256;25.691981935483867;;
2021-01-19;;;21.501675903225806;23.887202032258063;;
2021-01-20;;;28.28441469354839;25.691981935483867;;
2021-01-21;;;31.653943693548385;26.17532;;
2021-01-22;;;23.390749483870966;26.17532;;
2021-01-23;;;22.67547441935484;23.390749483870966;;
2021-01-24;;;18.011028774193548;23.390749483870966;;
2021-01-25;;;37.1900525483871;23.390749483870966;;
2021-01-26;;;49.467659209677414;28.28441469354839;;
2021-01-27;;;32.080332451612904;31.653943693548385;;
2021-01-28;;;34.848594693548385;32.080332451612904;;
2021-01-29;;;31.90247679032258;32.080332451612904;;
2021-01-30;;;21.177325290322578;32.080332451612904;;
2021-01-31;;;15.323358483870967;32.080332451612904;;
2021-02-01;;;48.97335925806451;32.080332451612904;;
2021-02-02;874766156674.598;;27.091995596774193;31.90247679032258;Q;43318.0
2021-02-03;153154409114.90936;;30.498762225806452;30.498762225806452;D;50298.0
2021-02-04;996848054501.6881;;20.62673335483871;27.091995596774193;Q;38473.0
2021-02-05;863254995070.1436;;40.273475806451614;27.091995596774193;Q;34264.0
2021-02-06;932314202551.3475;;20.866855064516127;27.091995596774193;Q;31058.0
2021-02-07;489153272521.2682;;10.108579193548387;27.091995596774193;D;34576.0
2021-02-08;1250312480779.6448;874766156674.598;12.770551806451612;20.866855064516127;Q;29593.0
2021-02-09;661261107019.7896;863254995070.1436;26.52700064516129;20.866855064516127;Q;36066.0
2021-02-10;56485161290.32258;863254995070.1436;17.314900661290324;20.62673335483871;N;43776.0
2021-02-11;312563651041.8513;661261107019.7896;23.300902758064517;20.866855064516127;D;28336.0
